x,y,id
31.90105,-5.286562,COM_KITE_001SM
38.865433,5.4212008,COM_KITE_002SM
-4.8091745,-9.269807,COM_KITE_003SM
5.2230372,-24.271841,COM_KITE_004SM
27.276394,-50.541115,COM_KITE_005SM
1.6992531,-10.380928,COM_KITE_006SM
27.272438,-50.55598,COM_KITE_007SM
-49.974396,87.63695,MED_VIN_001SM
-46.319454,86.22753,MED_VIN_002SM
-35.07866,31.762152,MED_VIN_003SM
23.275078,40.908234,MED_VIN_004SM
22.185902,38.19928,MED_VIN_005SM
-12.9623165,62.952873,MED_VIN_006SM
-25.666595,54.348606,MED_VIN_007SM
-5.8045797,68.09002,MED_VIN_008SM
-42.72717,83.19452,MED_VIN_009SM
23.268356,40.83817,MED_VIN_010SM
-46.612072,86.512665,MED_VIN_011SM
-9.007465,76.547455,MED_VIN_012SM
-12.590662,63.16746,MED_VIN_013SM
23.072084,38.52629,MED_VIN_014SM
-32.7898,74.10831,MED_VIN_015SM
-8.910234,76.58343,MED_VIN_016SM
-33.789978,92.54693,MED_VIN_017SM
-34.56038,76.7166,MED_VIN_018SM
51.784733,69.98035,MIS_BAR2_001SM
3.6884227,85.97762,MIS_BAR2_002SM
51.486492,69.3437,MIS_BAR2_003SM
-0.27768862,64.3935,MIS_BAR2_004SM
51.471577,69.62774,MIS_BAR2_005SM
49.97092,68.63616,MIS_BAR2_006SM
41.912186,69.05246,MIS_BAR2_007SM
49.576656,68.47161,MIS_BAR2_008SM
50.34838,69.45103,MIS_BAR2_009SM
50.41612,69.507095,MIS_BAR2_011SM
11.67471,70.33862,MIS_BAR2_012SM
49.618103,68.461296,MIS_BAR2_013SM
50.38644,69.36021,MIS_BAR2_014SM
19.186459,66.98327,MIS_BAR2_015SM
1.7565732,79.62317,MIS_BAR2_016SM
49.65386,68.48607,MIS_BAR2_017SM
50.18224,70.886185,MIS_BAR1_001SM
1.8493965,86.117546,MIS_BAR1_002SM
1.6043257,80.89869,MIS_BAR1_003SM
48.98572,71.78733,MIS_BAR1_004SM
-2.821091,80.20566,MIS_BAR1_005SM
49.87775,70.875984,MIS_BAR1_006SM
7.0081673,79.136345,MIS_BAR1_007SM
50.424786,70.61288,MIS_BAR1_008SM
17.22992,71.553696,MIS_BAR1_009SM
17.934372,65.72479,MIS_BAR1_011SM
0.94489604,86.06597,MIS_BAR1_012SM
49.514202,73.068756,STA_CHA_001SM
49.7858,73.14109,STA_CHA_002SM
50.105007,74.640976,STA_CHA_003SM
50.588184,74.8007,STA_CHA_004SM
50.014866,74.673485,STA_CHA_005SM
49.46668,73.18312,STA_CHA_006SM
52.31111,82.43693,STA_FNB_001SM
46.58439,62.561207,STA_FNB_002SM
52.751884,82.04949,STA_FNB_003SM
51.3906,82.75809,STA_FNB_004SM
51.854618,80.58957,STA_FNB_005SM
51.978195,83.041435,STA_FNB_006SM
51.847004,82.8438,STA_FNB_007SM
52.36886,82.43493,STA_FNB_008SM
51.795444,82.84931,STA_FNB_009SM
52.75574,82.01879,STA_FNB_010SM
54.062588,81.06564,STA_FNB_011SM
53.865017,81.05795,STA_FNB_012SM
53.984116,81.10278,STA_FNB_013SM
51.335285,83.07224,STA_FNB_014SM
51.80728,82.83371,STA_FNB_015SM
9.03337,92.45211,SOC_AGM_001SM
-31.29041,-23.204716,SOC_AGM_002SM
3.0125132,-20.051344,SOC_AGM_003SM
7.387581,93.94803,SOC_AGM_004SM
3.1135716,15.866085,SOC_AGM_005SM
21.24881,46.618553,SOC_AGM_006SM
21.229696,46.742973,SOC_AGM_007SM
-29.64793,-26.279478,SOC_AGM_008SM
6.925281,78.11793,SOC_AGM_009SM
21.374928,46.512478,SOC_AGM_010SM
83.57078,-20.349745,8-14
88.11966,-27.73179,8-15
88.09272,-28.901888,8-16
87.98541,-28.17995,8-17
