,albumID,name,aTitle,aDate,mDate,aURL
0,0,lib-0006,"OCLC Institute Knowledge Management: Methods and Systems, 19-21 June 2000",2012-03-08 04:05:01,2012-03-08 04:05:01,http://digitalimages.ust.hk/gallery/?p=601
1,1,lib-0011,"Recent Works by Karla Gaenessler, 8 November 2000 to 31 January 2001",2012-03-08 04:05:03,2012-03-08 04:05:03,http://digitalimages.ust.hk/gallery/?p=602
2,2,lib-0101,"2001 PNC Pacific Neighborhood Consortium Annual Conference and Joint Meetings, 15-20 January 2001",2012-03-08 04:05:03,2012-03-08 04:05:03,http://digitalimages.ust.hk/gallery/?p=603
3,3,lib-0102,"Calligraphy Works by Grace. Y.T. Tong, 13 February 2001 to 18 March 2001",2012-03-08 04:05:03,2012-03-08 04:05:03,http://digitalimages.ust.hk/gallery/?p=604
4,4,lib-0109,"&quot;Landmarks in Science and Technology&quot; - Library's First Ten Years, HKUST Library, 21 September 2001 - 31 January 2002",2012-03-08 04:05:04,2012-03-08 04:05:04,http://digitalimages.ust.hk/gallery/?p=605
5,5,lib-0203,"Splendors of the West, photographs by Jin Shouxian, 13 March 2002 to 30 May 2002",2012-03-08 04:05:04,2012-03-08 04:05:04,http://digitalimages.ust.hk/gallery/?p=606
6,6,lib-0205,"Collection Development Workshop by Ruth Miller, 27-30 May 2002",2012-03-08 04:05:04,2012-03-08 04:05:04,http://digitalimages.ust.hk/gallery/?p=607
7,7,lib-0206a,"HKUST Library Colloquium in Information Science &quot;Celebrating Special Collections: Scholarship and Beauty&quot;, 6 June 2002",2012-03-08 04:05:04,2012-03-08 04:05:04,http://digitalimages.ust.hk/gallery/?p=608
8,8,lib-0206b,"In Celebration of the Opening of the Special Collections Room, HKUST Library.  Exhibition: China in Maps - A Library Special Collection, 6 June 2002 to 15 October 2002",2012-03-08 04:05:04,2012-03-08 04:05:04,http://digitalimages.ust.hk/gallery/?p=609
9,9,lib-0302,"Clippings from the Old Country: Paper-cuts and Stencil Prints by Yu Ping and Ren Ping, 7 February 2003 to 30 April 2003",2012-03-08 04:05:05,2012-03-08 04:05:05,http://digitalimages.ust.hk/gallery/?p=610
10,10,lib-0306,"The Launch of Library Publication: China in European Maps - A Library Special Collection, HKUST Library, 27 June 2003",2012-03-08 04:05:05,2012-03-08 04:05:05,http://digitalimages.ust.hk/gallery/?p=611
11,11,lib-0310,"Launch Ceremony of &quot;Bookmark Me@UST&quot; Program, HKUST Library, 23 October 2003",2012-03-08 04:05:05,2012-03-08 04:05:05,http://digitalimages.ust.hk/gallery/?p=612
12,12,lib-0403,"Ting Pang-Hsin and Chen Chi Joint Calligraphy Painting Charity Exhibition, 11 March 2004 to 30 April 2004",2012-03-08 04:05:05,2012-03-08 04:05:05,http://digitalimages.ust.hk/gallery/?p=613
13,13,lib-0405,"HKUST Institutional Repository Celebration, HKUST Library, 21 May 2004",2012-03-08 04:05:06,2012-03-08 04:05:06,http://digitalimages.ust.hk/gallery/?p=614
14,14,lib-9304,"Rubbings of Chinese Inscription, 16 April 1993 to 8 June 1993",2012-03-08 05:05:01,2012-03-08 05:05:01,http://digitalimages.ust.hk/gallery/?p=615
15,15,lib-9402,"Recent Paintings by Lam Wu-Fui, 1 February 1994 to 31 March 1994",2012-03-08 05:05:01,2012-03-08 05:05:01,http://digitalimages.ust.hk/gallery/?p=616
