photoID,filename,imagepath,aID
0,com_kite_001sm,evimg2/a1-10/COM_KITE_001SM.jpg,32.0
1,com_kite_002sm,evimg2/a1-10/COM_KITE_002SM.jpg,32.0
2,com_kite_003sm,evimg2/a1-10/COM_KITE_003SM.jpg,32.0
3,com_kite_004sm,evimg2/a1-10/COM_KITE_004SM.jpg,32.0
4,com_kite_005sm,evimg2/a1-10/COM_KITE_005SM.jpg,32.0
5,com_kite_006sm,evimg2/a1-10/COM_KITE_006SM.jpg,32.0
6,com_kite_007sm,evimg2/a1-10/COM_KITE_007SM.jpg,32.0
7,med_vin_001sm,evimg2/a1-100/MED_VIN_001SM.jpg,33.0
8,med_vin_002sm,evimg2/a1-100/MED_VIN_002SM.jpg,33.0
9,med_vin_003sm,evimg2/a1-100/MED_VIN_003SM.jpg,33.0
10,med_vin_004sm,evimg2/a1-100/MED_VIN_004SM.jpg,33.0
11,med_vin_005sm,evimg2/a1-100/MED_VIN_005SM.jpg,33.0
12,med_vin_006sm,evimg2/a1-100/MED_VIN_006SM.jpg,33.0
13,med_vin_007sm,evimg2/a1-100/MED_VIN_007SM.jpg,33.0
14,med_vin_008sm,evimg2/a1-100/MED_VIN_008SM.jpg,33.0
15,med_vin_009sm,evimg2/a1-100/MED_VIN_009SM.jpg,33.0
16,med_vin_010sm,evimg2/a1-100/MED_VIN_010SM.jpg,33.0
17,med_vin_011sm,evimg2/a1-100/MED_VIN_011SM.jpg,33.0
18,med_vin_012sm,evimg2/a1-100/MED_VIN_012SM.jpg,33.0
19,med_vin_013sm,evimg2/a1-100/MED_VIN_013SM.jpg,33.0
20,med_vin_014sm,evimg2/a1-100/MED_VIN_014SM.jpg,33.0
21,med_vin_015sm,evimg2/a1-100/MED_VIN_015SM.jpg,33.0
22,med_vin_016sm,evimg2/a1-100/MED_VIN_016SM.jpg,33.0
23,med_vin_017sm,evimg2/a1-100/MED_VIN_017SM.jpg,33.0
24,med_vin_018sm,evimg2/a1-100/MED_VIN_018SM.jpg,33.0
25,mis_bar2_001sm,evimg2/a1-110/MIS_BAR2_001SM.jpg,34.0
26,mis_bar2_002sm,evimg2/a1-110/MIS_BAR2_002SM.jpg,34.0
27,mis_bar2_003sm,evimg2/a1-110/MIS_BAR2_003SM.jpg,34.0
28,mis_bar2_004sm,evimg2/a1-110/MIS_BAR2_004SM.jpg,34.0
29,mis_bar2_005sm,evimg2/a1-110/MIS_BAR2_005SM.jpg,34.0
30,mis_bar2_006sm,evimg2/a1-110/MIS_BAR2_006SM.jpg,34.0
31,mis_bar2_007sm,evimg2/a1-110/MIS_BAR2_007SM.jpg,34.0
32,mis_bar2_008sm,evimg2/a1-110/MIS_BAR2_008SM.jpg,34.0
33,mis_bar2_009sm,evimg2/a1-110/MIS_BAR2_009SM.jpg,34.0
34,mis_bar2_011sm,evimg2/a1-110/MIS_BAR2_011SM.jpg,34.0
35,mis_bar2_012sm,evimg2/a1-110/MIS_BAR2_012SM.jpg,34.0
36,mis_bar2_013sm,evimg2/a1-110/MIS_BAR2_013SM.jpg,34.0
37,mis_bar2_014sm,evimg2/a1-110/MIS_BAR2_014SM.jpg,34.0
38,mis_bar2_015sm,evimg2/a1-110/MIS_BAR2_015SM.jpg,34.0
39,mis_bar2_016sm,evimg2/a1-110/MIS_BAR2_016SM.jpg,34.0
40,mis_bar2_017sm,evimg2/a1-110/MIS_BAR2_017SM.jpg,34.0
41,mis_bar1_001sm,evimg2/a1-120/MIS_BAR1_001SM.jpg,35.0
42,mis_bar1_002sm,evimg2/a1-120/MIS_BAR1_002SM.jpg,35.0
43,mis_bar1_003sm,evimg2/a1-120/MIS_BAR1_003SM.jpg,35.0
44,mis_bar1_004sm,evimg2/a1-120/MIS_BAR1_004SM.jpg,35.0
45,mis_bar1_005sm,evimg2/a1-120/MIS_BAR1_005SM.jpg,35.0
46,mis_bar1_006sm,evimg2/a1-120/MIS_BAR1_006SM.jpg,35.0
47,mis_bar1_007sm,evimg2/a1-120/MIS_BAR1_007SM.jpg,35.0
48,mis_bar1_008sm,evimg2/a1-120/MIS_BAR1_008SM.jpg,35.0
49,mis_bar1_009sm,evimg2/a1-120/MIS_BAR1_009SM.jpg,35.0
50,mis_bar1_011sm,evimg2/a1-120/MIS_BAR1_011SM.jpg,35.0
51,mis_bar1_012sm,evimg2/a1-120/MIS_BAR1_012SM.jpg,35.0
52,sta_cha_001sm,evimg2/a1-140/STA_CHA_001SM.jpg,36.0
53,sta_cha_002sm,evimg2/a1-140/STA_CHA_002SM.jpg,36.0
54,sta_cha_003sm,evimg2/a1-140/STA_CHA_003SM.jpg,36.0
55,sta_cha_004sm,evimg2/a1-140/STA_CHA_004SM.jpg,36.0
56,sta_cha_005sm,evimg2/a1-140/STA_CHA_005SM.jpg,36.0
57,sta_cha_006sm,evimg2/a1-140/STA_CHA_006SM.jpg,36.0
58,sta_fnb_001sm,evimg2/a1-160/STA_FNB_001SM.jpg,37.0
59,sta_fnb_002sm,evimg2/a1-160/STA_FNB_002SM.jpg,37.0
60,sta_fnb_003sm,evimg2/a1-160/STA_FNB_003SM.jpg,37.0
61,sta_fnb_004sm,evimg2/a1-160/STA_FNB_004SM.jpg,37.0
62,sta_fnb_005sm,evimg2/a1-160/STA_FNB_005SM.jpg,37.0
63,sta_fnb_006sm,evimg2/a1-160/STA_FNB_006SM.jpg,37.0
